city,pin_code,area_name,nqi_composite,grade,total_cognizable_crimes,aqi_avg,metro_stations_nearby,discom,supply_hours,road_condition,check_against_reference (see script header for detail per column),total_cognizable_crimes__verified_ok(y/n/partial),aqi_avg__verified_ok(y/n/partial),metro_stations_nearby__verified_ok(y/n/partial),discom__verified_ok(y/n/partial),supply_hours__verified_ok(y/n/partial),road_condition__verified_ok(y/n/partial),notes
Chandigarh,160022,"Sectors 21-22, 32-35",67,B,318,284.0,0,CPDL,7,Good,,,,,,,,
Chandigarh,160036,"Sectors 36-38, 40-43",68,B,286,218.0,0,CPDL,6,Good,,,,,,,,
Chandigarh,160004,Air Force Station · Highground,68,B,162,204.0,0,CPDL,7,Good,,,,,,,,
Chandigarh,160030,Sectors 29-31,66,B,248,212.0,0,CPDL,6,Good,,,,,,,,
Chandigarh,160002,Ram Darbar · Industrial Area,60,B,421,205.0,0,CPDL,5,Average,,,,,,,,
Chandigarh,160014,Sector 14 · Panjab University,74,B+,164,149.0,0,CPDL,8,Excellent,,,,,,,,
Chandigarh,160101,Manimajra,66,B,368,195.0,0,CPDL,5,Average,,,,,,,,
Delhi NCR,110010,Cantonment,87,A,95,108.0,1,NDMC,20,Excellent,,,,,,,,
Delhi NCR,110007,Delhi University,77,B,195,126.0,3,Tata Power,12,Average,,,,,,,,
Delhi NCR,122502,Rewari,65,B,385,62.4,0,DHBVN,7,Poor,,,,,,,,
Delhi NCR,110052,Ashok Vihar,66,B,389,198.0,3,Tata Power,14,Average,,,,,,,,
Delhi NCR,110008,Shadipur,73,B,310,138.0,4,BSES Rajdhani,10,Average,,,,,,,,
Delhi NCR,110016,Hauz Khas,78,B,310,113.0,4,BSES Rajdhani,18,Good,,,,,,,,
Delhi NCR,110025,Mathura Road,77,B,265,138.0,3,BSES Yamuna,14,Average,,,,,,,,
Delhi NCR,110017,Saket,80,A,290,,3,BSES Rajdhani,18,Good,,,,,,,,
Delhi NCR,110067,JNU Area,79,B,155,108.0,0,BSES Rajdhani,18,Good,,,,,,,,
Delhi NCR,123401,Rewari Town,67,B,342,62.4,0,DHBVN,7,Poor,,,,,,,,
Delhi NCR,110012,Pusa,79,B,180,184.0,1,BSES Rajdhani,16,Good,,,,,,,,
Delhi NCR,124507,Bahadurgarh,69,B,398,66.0,2,UHBVN,8,Average,,,,,,,,
Delhi NCR,110043,Najafgarh,67,B,368,143.0,1,BSES Rajdhani,8,Poor,,,,,,,,
Delhi NCR,122505,Mahendragarh,57,C,410,40.5,0,UHBVN,5,Very Poor,,,,,,,,
Delhi NCR,131027,Murthal,76,B,275,60.3,0,UHBVN,7,Average,,,,,,,,
Hyderabad,500023,Yakutpura,52,C+,271,124,0,TSSPDCL (Telangana Southern Power Distribution Co.),6,Poor,,,,,,,,
Hyderabad,500061,Sitaphalmandi,55,C+,240,130,0,TSSPDCL (Telangana Southern Power Distribution Co.),2,Average,,,,,,,,
Hyderabad,500040,Moulali,53,C+,353,86,0,TSSPDCL (Telangana Southern Power Distribution Co.),4,Average,,,,,,,,
Hyderabad,500012,Begum Bazar,52,C+,356,129,0,TSSPDCL (Telangana Southern Power Distribution Co.),4,Poor,,,,,,,,
Hyderabad,500106,Manchirevula,59,C+,305,84,0,TSSPDCL (Telangana Southern Power Distribution Co.),2,Excellent,,,,,,,,
Hyderabad,500058,Kanchanbagh,55,C+,308,127,0,TSSPDCL (Telangana Southern Power Distribution Co.),4,Average,,,,,,,,
Hyderabad,500081,HITEC City / Madhapur / Raidurg,60,B,284,207,2,TSSPDCL (Telangana Southern Power Distribution Co.),4,Excellent,,,,,,,,
Hyderabad,500090,Bachupally,58,C+,312,146,0,TSSPDCL (Telangana Southern Power Distribution Co.),4,Excellent,,,,,,,,
Hyderabad,500038,Ameerpet / Sanjeevaiah Nagar,61,B,244,214,2,TSSPDCL (Telangana Southern Power Distribution Co.),6,Good,,,,,,,,
Hyderabad,500065,Fatehdarwaza,55,C+,287,109,0,TSSPDCL (Telangana Southern Power Distribution Co.),7,Average,,,,,,,,
Hyderabad,500053,Falaknuma,52,C+,307,138,0,TSSPDCL (Telangana Southern Power Distribution Co.),4,Poor,,,,,,,,
Hyderabad,500072,Kukatpally,56,C+,256,220,1,TSSPDCL (Telangana Southern Power Distribution Co.),4,Excellent,,,,,,,,
Hyderabad,500039,Uppal,58,C+,278,81,1,TSSPDCL (Telangana Southern Power Distribution Co.),2,Good,,,,,,,,
Hyderabad,500074,LB Nagar,58,C+,325,96,1,TSSPDCL (Telangana Southern Power Distribution Co.),6,Good,,,,,,,,
Hyderabad,500034,Banjara Hills,57,C+,227,198,0,TSSPDCL (Telangana Southern Power Distribution Co.),2,Good,,,,,,,,
Mumbai,400011,Jacob Circle / Agripada,68,B,245,117,1,BEST,1.7,Good,,,,,,,,
Mumbai,400030,Worli Colony,66,B,285,108,0,BEST,2.4,Good,,,,,,,,
Mumbai,400013,Lower Parel,66,B,213,113,1,BEST,2.4,Average,,,,,,,,
Mumbai,400058,Andheri West (Lokhandwala),67,B,196,83,1,Tata Power + Adani Electricity,2.0,Average,,,,,,,,
Mumbai,400036,August Kranti Marg,68,B,189,110,0,BEST,3,Good,,,,,,,,
Mumbai,400068,Dahisar,66,B,208,82,1,Tata Power / MSEDCL,4.8,Good,,,,,,,,
Mumbai,400078,Bhandup West,65,B,315,86,0,Tata Power,21,Average,,,,,,,,
Mumbai,400056,Vile Parle West,69,B,228,75,0,Tata Power + Adani Electricity,2.9,Good,,,,,,,,
Mumbai,400021,Nariman Point,70,B+,257,65,0,BEST,7,Average,,,,,,,,
Mumbai,400057,Vile Parle East,66,B,212,92,0,Tata Power + Adani Electricity,3.1,Average,,,,,,,,
Mumbai,400055,Santacruz East / Vakola,68,B,244,131,1,Tata Power + Adani Electricity,3.0,Good,,,,,,,,
Mumbai,400027,Byculla (Rani Baug),66,B,242,125,0,BEST,1.7,Good,,,,,,,,
Mumbai,400082,Mulund Colony,62,B,277,77,0,Tata Power / MSEDCL,21,Good,,,,,,,,
Mumbai,400035,Raj Bhavan (Malabar Point),70,B+,205,88,0,BEST,7,Good,,,,,,,,
Mumbai,400094,Anushakti Nagar,62,B,257,125,0,Tata Power,4.4,Average,,,,,,,,
